well_id,date,depth_m,flow_rate_m3h,ph,iron_mg_l,hardness_meq_l,tds_mg_l
131,2025-09-23,62.0,4.98,7.62,0.44,7.09,630.0
106,2026-01-14,135.4,6.29,8.12,0.03,13.38,717.5
102,2024-11-27,125.7,3.81,6.83,0.11,8.825,612.25
120,2026-05-28,109.0,5.16,6.73,1.16,8.21,1027.5
128,2025-12-28,132.1,3.32,6.65,0.0,16.595,700.25
111,2025-12-06,134.1,3.51,7.07,0.43,11.315000000000001,1070.25
104,2025-10-05,115.0,4.95,7.92,0.59,13.74,658.5
115,2023-04-04,130.4,2.06,7.46,0.04,14.969999999999999,905.0
106,2025-08-15,113.7,8.09,7.44,2.89,14.545,613.25
149,2025-10-08,111.6,3.21,6.29,0.21,15.56,858.0
130,2024-03-28,104.2,4.94,6.85,0.29,9.14,711.5
138,2026-05-12,120.3,6.75,6.28,0.29,8.335,753.75
102,2025-06-30,49.0,3.71,7.79,0.21,7.74,714.5
115,2023-08-06,135.7,1.55,7.99,0.0,9.825,769.25
111,2024-04-18,134.6,4.33,7.59,1.05,8.91,622.5
108,2024-03-07,33.5,3.69,6.71,2.73,6.555,697.75
126,2023-12-07,129.1,1.59,7.94,0.2,14.725,650.75
145,2024-07-04,45.5,5.43,7.07,0.87,8.805,690.75
144,2026-07-01,70.2,,6.59,1.08,8.01,821.5
105,2023-12-23,119.2,6.71,6.72,,13.190000000000001,742.0
106,2023-01-23,49.3,3.32,6.98,0.44,6.324999999999999,800.25
126,2024-06-05,128.2,2.6,7.22,0.29,8.530000000000001,892.5
104,2026-01-28,129.9,4.39,7.12,0.31,14.605,720.75
119,2025-03-12,90.9,,6.49,1.0,11.535,937.25
120,2026-04-18,30.8,6.38,7.81,1.36,9.64,406.0
133,2026-05-31,64.4,7.12,7.12,0.16,5.530000000000001,604.0
120,2025-01-31,104.0,6.82,6.84,0.37,13.899999999999999,729.0
149,2024-03-17,147.7,5.41,7.76,1.86,14.344999999999999,960.25
112,2025-02-07,105.8,6.2,6.61,1.31,11.8,931.5
147,2025-10-12,61.2,4.04,6.39,3.35,10.06,811.0
101,2024-05-30,106.1,5.25,7.84,1.12,14.225,799.25
126,2025-11-05,94.8,3.21,8.15,0.4,11.440000000000001,695.0
114,2025-03-02,123.6,5.09,6.97,0.71,12.83,535.0
138,2023-12-02,42.8,5.13,7.18,0.87,12.07,410.0
137,2023-09-15,121.3,7.58,6.63,0.07,14.115000000000002,1068.25
111,2024-05-11,95.0,,7.2,0.63,10.29,462.5
136,2025-06-14,145.6,5.14,6.96,0.99,14.940000000000001,746.0
113,2023-06-09,71.0,5.36,,,8.66,849.5
143,2025-05-01,105.9,4.32,7.4,1.21,9.125,795.75
103,2024-11-20,141.8,3.8,6.65,0.7,13.86,993.5
133,2024-01-15,42.3,6.95,7.02,2.43,11.545,686.75
106,2025-08-14,142.5,3.53,,0.03,16.555,1076.25
110,2024-11-21,112.5,3.01,7.02,0.25,10.365,825.25
105,2026-07-15,38.1,6.02,7.15,0.74,8.125,695.25
123,2026-04-06,66.1,6.74,7.31,0.28,6.994999999999999,556.25
110,2025-12-02,115.0,4.32,7.32,1.0,15.72,875.5
144,2023-10-12,38.1,4.35,7.65,1.14,11.754999999999999,536.25
102,2024-02-01,99.9,5.42,6.43,0.09,,681.75
113,2023-01-12,71.5,3.94,6.46,0.58,12.015,812.75
140,2026-06-30,104.5,3.83,7.46,0.57,12.945,896.25
102,2024-05-13,35.5,6.32,6.18,0.37,8.525,841.75
120,2025-01-23,134.6,5.91,7.29,2.16,9.16,1079.5
101,2023-02-04,146.8,6.97,6.61,,12.98,1005.0
137,2024-12-27,146.3,3.12,7.99,0.96,14.715000000000002,607.75
109,2025-04-28,120.0,4.25,7.33,1.0,13.42,1074.0
117,2023-03-31,45.6,5.42,7.09,0.5,7.260000000000001,752.0
109,2025-02-14,121.0,3.61,7.81,2.03,15.58,687.5
111,2024-08-27,33.0,5.96,6.67,0.95,4.99,691.5
115,2025-08-27,32.7,6.84,6.76,1.04,7.635,425.75
124,2025-10-18,68.8,4.12,6.57,1.58,10.97,765.0
138,2024-02-22,88.6,5.06,6.77,0.26,12.01,524.5
135,2023-04-25,122.4,7.18,7.23,1.32,,685.0
130,2024-09-08,112.0,7.7,,0.17,9.8,886.0
131,2026-05-04,83.5,6.12,7.68,0.34,7.425,869.75
149,2025-04-05,62.8,5.89,6.29,0.33,10.23,706.0
105,2026-01-03,149.7,3.72,7.11,3.07,14.274999999999999,831.25
144,2024-02-17,81.1,5.54,,1.55,7.484999999999999,385.75
114,2024-12-29,84.2,5.84,7.1,0.97,11.85,679.5
111,2025-10-17,49.6,4.68,8.37,1.04,8.120000000000001,704.0
109,2025-01-30,125.4,4.11,7.35,0.66,13.61,765.5
134,2024-11-06,113.2,3.08,7.65,2.35,14.36,780.0
112,2024-04-01,56.5,2.39,,0.55,6.1850000000000005,613.25
135,2025-07-08,39.9,2.08,7.76,0.38,4.145,551.75
135,2023-07-11,111.7,5.87,6.98,0.14,13.815000000000001,790.25
101,2025-01-08,108.5,5.22,6.56,1.23,12.305,730.25
140,2026-01-27,62.8,4.27,7.18,1.06,10.74,873.0
122,2025-09-04,144.1,4.5,6.92,,15.915000000000001,529.25
129,2025-10-05,48.1,5.32,6.44,0.02,10.825,538.25
108,2023-04-06,81.9,4.75,7.32,1.46,13.785,573.75
111,2024-10-24,143.2,2.99,7.33,0.01,13.45,891.0
141,2026-04-28,80.4,6.37,8.08,0.97,9.93,713.0
137,2023-02-06,106.6,5.46,7.02,2.81,10.55,1009.5
114,2023-10-06,77.7,5.4,7.34,0.46,7.115,987.25
130,2023-08-05,62.9,6.26,6.87,0.21,9.725,541.25
135,2025-05-16,148.1,3.78,7.64,0.98,11.625,870.25
121,2025-05-22,79.1,6.82,7.14,1.36,13.325,726.75
137,2026-07-20,137.3,4.79,6.61,0.63,13.535,723.25
